"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"81","Justice Hill (BAL)","49","262","5.3","34","2","0","12","12","58","4.8","0","1","15","36.0","2.4","0.2%"
"82","Travis Homer (CHI)","19","74","3.9","16","0","0","16","18","157","9.8","1","1","12","35.1","2.9","0.3%"
"83","Marlon Mack (ARI)","16","84","5.3","17","0","1","8","10","99","12.4","1","0","8","34.3","4.3","3.1%"
"84","Javonte Williams (DEN)","47","204","4.3","17","0","0","16","22","76","4.8","0","1","4","34.0","8.5","87.7%"
"85","Jordan Mason (SF)","43","258","6.0","55","4","1","0","0","0","0","0","0","12","31.8","2.7","0.6%"
"86","Malik Davis (DAL)","38","161","4.2","23","2","1","6","7","63","10.5","0","0","6","31.4","5.2","1.0%"
"87","Alec Ingold (MIA)","6","8","1.3","2","0","1","15","23","105","7.0","1","0","12","30.8","2.6","0.1%"
"88","Gary Brightwell (NYG)","31","141","4.5","25","1","1","5","8","39","7.8","0","0","15","26.5","1.8","0.2%"
"89","Craig Reynolds (DET)","23","102","4.4","21","1","0","9","10","116","12.9","0","0","7","26.3","3.8","0.2%"
"90","C.J. Ham (MIN)","4","7","1.8","3","0","2","10","12","86","8.6","0","0","11","26.3","2.4","0.1%"
"91","Kyren Williams (LAR)","35","139","4.0","17","0","0","9","12","76","8.4","0","0","8","26.0","3.3","2.3%"
"92","Avery Williams (ATL)","22","109","5.0","21","1","1","13","14","61","4.7","0","1","17","25.5","1.5","0.0%"
"93","Mike Boone (HOU)","24","102","4.3","18","0","0","9","15","96","10.7","0","0","8","24.3","3.0","0.2%"
"94","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","23.8","2.0","0.2%"
"95","Pierre Strong Jr. (NE)","10","100","10.0","44","3","1","7","7","42","6.0","0","0","10","23.7","2.4","1.4%"
"96","Jonathan Williams (WAS)","37","152","4.1","23","1","0","7","10","40","5.7","0","0","9","22.7","2.5","0.2%"
"97","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","20.5","6.8","0.0%"
"98","Hassan Haskins (TEN)","25","93","3.7","12","0","0","11","12","57","5.2","0","0","14","20.5","1.5","0.7%"
"99","Sony Michel (FA)","36","106","2.9","12","0","0","9","13","53","5.9","0","0","10","20.4","2.0","0.1%"
"100","Malcolm Brown (FA)","18","81","4.5","23","1","1","5","6","37","7.4","0","0","7","20.3","2.9","0.0%"
"101","Corey Clement (ARI)","15","55","3.7","12","0","1","5","7","54","10.8","0","0","5","19.4","3.9","0.3%"
"102","Darrel Williams (NO)","21","102","4.9","30","2","1","4","8","9","2.3","0","0","5","19.1","3.8","2.0%"
"103","Reggie Gilliam (BUF)","0","0","0","0","0","0","9","11","76","8.4","1","0","8","18.1","2.3","0.1%"
"104","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","17.7","1.5","0.1%"
"105","Benny Snell Jr. (DET)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","17.7","2.0","0.0%"
"106","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","16.1","1.5","1.0%"
"107","Zander Horvath (LAC)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","16.1","2.0","0.1%"
"108","Royce Freeman (LAR)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","16.0","3.2","0.0%"
"109","Ronald Jones II (DAL)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","15.7","3.1","1.1%"
"110","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","14.5","1.1","0.1%"
"111","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","13.7","2.0","0.0%"
"112","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","11.8","3.9","0.0%"
"113","Jordan Wilkins (CLE)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","11.7","2.9","0.0%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","11.3","1.1","0.3%"
"115","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.7%"
"116","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","10.5","0.8","1.0%"
"117","Darrynton Evans (BUF)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","10.2","3.4","0.0%"
"118","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.1%"
"119","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.6%"
"120","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","8.9","8.9","0.1%"
"121","Ty Montgomery (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","8.8","8.8","0.9%"
"122","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","8.7","1.0","0.4%"
"123","Tony Jones Jr. (DEN)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","7.9","2.6","0.3%"
"124","Jaret Patterson (WAS)","17","78","4.6","14","0","0","0","1","0","0","0","0","2","7.8","3.9","0.0%"
"125","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","7.5","3.8","0.0%"
"126","Myles Gaskin (MIA)","10","26","2.6","10","0","0","4","6","28","7.0","0","0","2","7.4","3.7","0.1%"
"127","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","7.1","1.8","0.0%"
"128","Trayveon Williams (CIN)","6","30","5.0","16","0","0","2","3","30","15.0","0","0","9","7.0","0.8","0.7%"
"129","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","9.0%"
"130","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","6.9","1.4","1.5%"
"131","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","6.8","1.1","0.1%"
"132","Spencer Brown (CAR)","9","43","4.8","7","0","0","2","4","10","5.0","0","0","2","6.3","3.2","0.0%"
"133","Patrick Taylor Jr. (GB)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","5.3","0.8","0.1%"
"134","Trestan Ebner (CHI)","24","54","2.3","11","0","0","2","8","8","4.0","0","1","11","5.2","0.5","0.0%"
"135","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","5.1","5.1","0.1%"
"136","Dwayne Washington (FA)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","5.0","0.7","0.0%"
"137","Larry Rountree III (FA)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","4.3","1.4","0.1%"
"138","Jonathan Ward (TEN)","5","25","5.0","12","0","0","2","3","7","3.5","0","0","4","4.2","1.1","0.0%"
"139","D'Ernest Johnson (JAC)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","3.9","0.4","0.6%"
"140","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","3.7","0.9","0.0%"
"141","Jakob Johnson (LV)","0","0","0","0","0","0","5","6","10","2.0","0","0","11","3.5","0.3","0.0%"
"142","Adam Prentice (NO)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","3.3","0.6","0.0%"
"143","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","3.2","0.6","1.0%"
"144","Michael Burton (DEN)","5","7","1.4","6","0","0","2","3","11","5.5","0","0","12","2.8","0.2","0.0%"
"145","J.J. Taylor (NE)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","2.2","2.2","0.1%"
"146","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","2.1%"
"147","Trey Sermon (PHI)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"148","Keith Smith (ATL)","1","2","2.0","2","0","0","1","2","8","8.0","0","0","10","1.5","0.2","0.0%"
"149","Demetric Felton Jr. (CLE)","1","-4","-4.0","0","0","0","2","4","8","4.0","0","0","6","1.4","0.2","0.1%"
"150","Godwin Igwebuike (ATL)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","1.2","0.2","0.0%"
"151","Devine Ozigbo (DET)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","1.2","0.4","0.0%"
"152","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","7.1%"
"153","Ty'Son Williams (ARI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.0","1.0","0.0%"
"154","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"155","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"156","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"157","Damien Williams (LV)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"158","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"159","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"160","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Chris Myarick (NYG)","0","0","0","0","0","0","7","8","65","9.3","1","0","10","0.0","0.0","0.0%"
"162","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Darwin Thompson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Damarea Crockett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Qadree Ollison (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"167","Khari Blasingame (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"168","Andrew Beck (HOU)","2","0","0.0","1","0","0","5","11","69","13.8","0","0","9","0.0","0.0","0.0%"
"169","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"170","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"171","Jason Huntley (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"177","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","John Lovett (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Troy Hairston II (HOU)","0","0","0","0","0","0","5","8","19","3.8","0","0","12","0.0","0.0","0.0%"
"181","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"182","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"183","Chase Brown (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"184","Clint Ratkovich (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Abram Smith (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"186","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"187","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.1%"
"188","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"189","Greg Bell (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"191","Tyjae Spears (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"192","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"193","Jaleel McLaughlin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Hunter Luepke (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Ellis Merriweather (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Emanuel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Ronnie Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Chris Brooks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Jordan Mims (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"202","Levi Bell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Travis Dye (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Darius Hagans (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Robert Burns (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Wayne Taulapapa (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Hassan Hall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Jacob Saylors (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Camerun Peoples (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"212","Calvin Tyler Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Jordan Byrd (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Emari Demercado (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Khalan Laborn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Jack Colletto (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Tyler Hoosman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","SaRodorick Thompson Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Derek Parish (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"223","Lew Nichols III (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"224","CJ Marable (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Tank Bigsby (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.1%"
"227","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Zach Charbonnet (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.4%"
"229","De'Von Achane (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6%"
"230","Bijan Robinson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.1%"
"231","Zach Evans (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"232","Nate McCrary (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Gerrid Doaks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Jake Funk (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Jahmyr Gibbs (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.6%"
"237","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"238","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4%"
