"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"170","Charcandrick West (FA)","0","0","0","0","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"171","Chase Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"172","Kiero Small (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"173","Jalen Parmele (FA)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Bruce Miller (FA)","6","9","1.5","4","0","0","18","25","189","10.5","2","1","16","0.0","0.0","0.0%"
"175","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","Montell Owens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"177","Tony Fiammetta (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Tauren Poole (FA)","1","0","0.0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
""
""
