"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"57","Bruce Miller (FA)","12","13","84","7.0","26","1","0","5","18","0","0","16","16.2","1.0","0.0%"
"58","John Phillips (FA)","8","10","55","6.9","19","0","1","0","0","0","0","16","15.5","1.0","0.0%"
"59","Lee Smith (FA)","4","4","13","3.3","5","0","2","0","0","0","0","16","15.3","1.0","0.0%"
"60","Leonard Pope (FA)","3","4","9","3.0","7","0","2","0","0","0","0","7","14.4","2.1","0.0%"
"61","Orson Charles (FA)","8","10","101","12.6","25","1","0","0","0","0","0","16","14.1","0.9","0.0%"
"62","Kevin Boss (FA)","3","3","65","21.7","29","2","1","0","0","0","0","2","14.0","7.0","0.0%"
"63","Konrad Reuland (FA)","11","16","83","7.5","18","0","0","0","0","0","0","16","13.8","0.9","0.0%"
"64","Todd Heap (FA)","8","13","94","11.8","28","1","0","0","0","0","0","2","13.4","6.7","0.0%"
"65","Dorin Dickerson (FA)","9","15","117","13.0","24","3","0","1","-8","0","1","11","13.4","1.2","0.0%"
"66","Michael Hoomanawanui (FA)","5","7","109","21.8","41","2","0","0","0","0","0","14","13.4","1.0","0.1%"
"67","David Ausberry (FA)","7","12","92","13.1","31","2","0","0","0","0","0","16","12.7","0.8","0.0%"
"68","James Hanna (FA)","8","11","86","10.8","29","1","0","0","0","0","0","16","12.6","0.8","0.0%"
"69","Tim Tebow (FA)","0","1","0","0","0","0","0","32","102","0","0","12","11.8","1.0","0.5%"
"70","Matt Spaeth (FA)","6","10","28","4.7","13","0","1","0","0","0","0","16","11.8","0.7","0.0%"
"71","Bear Pascoe (FA)","4","9","35","8.8","16","0","1","0","0","0","0","15","11.5","0.8","0.0%"
"72","Michael Palmer (FA)","6","6","22","3.7","6","0","1","0","0","0","0","13","11.2","0.9","0.0%"
"73","Alex Smith (FA)","13","18","47","3.6","17","0","0","0","0","0","0","12","11.2","0.9","0.0%"
"74","Daniel Fells (FA)","4","9","85","21.3","35","2","0","0","0","0","0","13","10.5","0.8","0.0%"
"75","Rhett Ellison (FA)","7","9","65","9.3","29","1","0","0","0","0","0","16","10.0","0.6","0.0%"
"76","Randy McMichael (FA)","9","13","51","5.7","13","0","0","0","0","0","0","11","9.6","0.9","0.0%"
"77","Nate Byham (FA)","3","4","18","6.0","10","0","1","0","0","0","0","11","9.3","0.8","0.0%"
"78","D.J. Williams (FA)","7","15","57","8.1","12","0","0","0","0","0","0","13","9.2","0.7","0.0%"
"79","Virgil Green (FA)","5","6","63","12.6","28","1","0","0","0","0","0","12","8.8","0.7","0.0%"
"80","David Paulson (FA)","7","11","51","7.3","9","0","0","0","0","0","0","16","8.6","0.5","0.0%"
"81","John Carlson (FA)","8","14","43","5.4","14","0","0","0","0","0","0","14","8.3","0.6","0.0%"
"82","Richard Gordon (FA)","2","7","9","4.5","8","0","1","0","0","0","0","13","7.9","0.6","0.0%"
"83","Ladarius Green (FA)","4","4","56","14.0","31","1","0","0","0","0","0","4","7.6","1.9","0.0%"
"84","Steve Maneri (FA)","5","12","51","10.2","19","0","0","0","0","0","0","13","7.6","0.6","0.0%"
"85","Taylor Thompson (FA)","6","13","46","7.7","12","0","0","0","0","0","0","16","7.6","0.5","0.0%"
"86","Garrett Celek (FA)","4","7","51","12.8","35","1","0","0","0","0","0","13","7.1","0.5","0.0%"
"87","Kyle Adams (FA)","4","8","40","10.0","17","0","0","0","0","0","0","15","6.0","0.4","0.0%"
"88","Mike McNeill (FA)","4","7","31","7.8","10","0","0","0","0","0","0","14","5.1","0.4","0.0%"
"89","Ben Hartsock (FA)","2","3","30","15.0","25","1","0","0","0","0","0","15","4.0","0.3","0.0%"
"90","Jake O'Connell (FA)","3","3","18","6.0","11","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"91","Cory Harkey (FA)","1","2","21","21.0","21","1","0","0","0","0","0","5","2.6","0.5","0.2%"
"92","Weslye Saunders (FA)","2","4","15","7.5","11","0","0","0","0","0","0","11","2.5","0.2","0.0%"
"93","Jim Dray (FA)","2","2","15","7.5","12","0","0","0","0","0","0","13","2.5","0.2","0.0%"
"94","Hayden Smith (FA)","1","1","16","16.0","16","0","0","0","0","0","0","5","2.1","0.4","0.0%"
"95","Allen Reisner (FA)","1","1","13","13.0","13","0","0","0","0","0","0","4","1.8","0.5","0.0%"
"96","Chase Coffman (FA)","1","1","12","12.0","12","0","0","0","0","0","0","5","1.7","0.3","0.0%"
"97","Kellen Winslow (FA)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"98","Zach Potter (FA)","2","6","6","3.0","4","0","0","0","0","0","0","16","1.6","0.1","0.0%"
"99","Ryan Taylor (FA)","1","1","11","11.0","11","0","0","0","0","0","0","16","1.6","0.1","0.0%"
"100","Dominique Jones (FA)","1","1","8","8.0","8","0","0","0","0","0","0","4","1.3","0.3","0.0%"
"101","Chris Cooley (FA)","1","3","8","8.0","8","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"102","Tommy Gallarda (FA)","1","4","7","7.0","7","0","0","0","0","0","0","9","1.2","0.1","0.0%"
"103","Isaiah Stanback (FA)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"104","Evan Moore (FA)","1","8","6","6.0","6","0","0","0","0","0","0","7","1.1","0.2","0.0%"
"105","Brad Smelley (FA)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"106","Mike Higgins (FA)","1","1","-3","-3.0","0","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"107","Sean McGrath (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"108","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"109","Josh Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"110","Emil Igwenagu (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"111","Kory Sperry (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Maurice Stovall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"113","Mike Leach (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"114","Billy Bajema (FA)","0","1","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"115","Brian Jennings (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"116","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"117","Colin Cloherty (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Daniel Graham (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Kyle Miller (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Jake Bequette (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"121","Evan Rodriguez (FA)","4","8","21","5.3","11","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"122","Adrien Robinson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"123","Greg Scruggs (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.2%"
"124","Danny Noble (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"125","Brandon Barden (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"126","Jamie McCoy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Michael Egnew (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"128","Travis Beckum (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Visanthe Shiancoe (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Zach Miller (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"131","Julius Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"132","Richie Brockel (FA)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"133","Jeron Mastrud (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"134","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
"135","Dedrick Epps (FA)","1","1","9","9.0","9","0","0","0","0","0","1","1","-0.6","-0.6","0.0%"
""
""
