"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"53","Gary Barnidge (FA)","13","18","127","9.8","40","1","2","0","0","0","0","16","31.2","2.0","0.1%"
"54","Gavin Escobar (FA)","9","15","134","14.9","25","3","2","0","0","0","0","16","29.9","1.9","0.0%"
"55","Cory Harkey (FA)","13","18","113","8.7","31","1","2","0","0","0","0","15","29.8","2.0","0.2%"
"56","Michael Hoomanawanui (FA)","12","19","136","11.3","19","0","1","0","0","0","0","13","25.6","2.0","0.1%"
"57","Levine Toilolo (FA)","11","14","55","5.0","12","0","2","0","0","0","0","16","23.0","1.4","0.0%"
"58","Jake Ballard (FA)","7","9","75","10.7","29","1","2","0","0","0","0","8","23.0","2.9","0.0%"
"59","Brandon Bostick (FA)","7","14","120","17.1","26","4","1","0","0","0","0","11","21.5","2.0","0.2%"
"60","Chase Ford (FA)","11","16","133","12.1","37","2","0","0","0","0","0","9","18.8","2.1","0.0%"
"61","Fred Davis (FA)","7","18","70","10.0","23","1","1","0","0","0","0","10","16.5","1.7","0.0%"
"62","Vance McDonald (FA)","8","19","119","14.9","25","3","0","0","0","0","0","15","15.9","1.1","0.0%"
"63","Rhett Ellison (FA)","5","10","61","12.2","17","0","1","0","0","0","0","11","14.6","1.3","0.0%"
"64","Bear Pascoe (FA)","12","20","81","6.8","14","0","0","1","2","0","0","16","14.3","0.9","0.0%"
"65","Joel Dreessen (FA)","7","9","47","6.7","14","0","1","0","0","0","0","13","14.2","1.1","0.0%"
"66","Chris Gragg (FA)","5","7","53","10.6","28","1","1","0","0","0","0","9","13.8","1.5","0.0%"
"67","James Hanna (FA)","12","15","73","6.1","21","1","0","0","0","0","0","16","13.3","0.8","0.0%"
"68","Danny Noble (FA)","2","3","63","31.5","62","1","1","0","0","0","0","8","13.3","1.7","0.0%"
"69","Josh Hill (FA)","6","10","44","7.3","9","0","1","1","-8","0","0","14","12.6","0.9","0.0%"
"70","Dion Sims (FA)","6","10","32","5.3","8","0","1","0","0","0","0","15","12.2","0.8","0.0%"
"71","Jeron Mastrud (FA)","6","13","88","14.7","41","1","0","0","0","0","0","16","11.8","0.7","0.0%"
"72","Tony Scheffler (FA)","7","12","82","11.7","22","1","0","0","0","0","0","5","11.7","2.3","0.0%"
"73","David Paulson (FA)","6","10","102","17.0","34","2","0","0","0","0","1","16","11.2","0.7","0.0%"
"74","Kellen Davis (FA)","3","4","32","10.7","23","1","1","0","0","0","0","15","10.7","0.7","0.2%"
"75","Michael Egnew (FA)","7","11","69","9.9","14","0","0","0","0","0","0","16","10.4","0.7","0.0%"
"76","Lee Smith (FA)","5","9","78","15.6","28","2","0","0","0","0","0","16","10.3","0.6","0.0%"
"77","Tom Crabtree (FA)","4","7","21","5.3","14","0","1","0","0","0","0","7","10.1","1.4","0.0%"
"78","David Johnson (FA)","4","6","70","17.5","32","1","0","0","0","0","0","5","9.0","1.8","0.0%"
"79","Virgil Green (FA)","9","12","45","5.0","10","0","0","0","0","0","0","16","9.0","0.6","0.0%"
"80","Taylor Thompson (FA)","3","7","13","4.3","9","0","1","0","0","0","0","16","8.8","0.6","0.0%"
"81","Zach Sudfeld (FA)","5","10","63","12.6","25","2","0","0","0","0","0","14","8.8","0.6","0.0%"
"82","Alex Smith (FA)","3","6","12","4.0","7","0","1","0","0","0","0","16","8.7","0.5","0.0%"
"83","Matthew Mulligan (FA)","2","3","16","8.0","15","0","1","0","0","0","0","15","8.6","0.6","0.0%"
"84","Dwayne Allen (FA)","1","2","20","20.0","20","1","1","0","0","0","0","1","8.5","8.5","0.0%"
"85","Matt Spaeth (FA)","1","2","11","11.0","11","0","1","0","0","0","0","4","7.6","1.9","0.0%"
"86","Nick Kasa (FA)","1","5","9","9.0","9","0","1","0","0","0","0","16","7.4","0.5","0.0%"
"87","Niles Paul (FA)","4","8","51","12.8","25","1","0","0","0","0","0","15","7.1","0.5","0.0%"
"88","Weslye Saunders (FA)","4","11","46","11.5","18","0","0","0","0","0","0","6","6.6","1.1","0.0%"
"89","Allen Reisner (FA)","5","9","40","8.0","16","0","0","0","0","0","0","5","6.5","1.3","0.0%"
"90","MarQueis Gray (FA)","2","9","8","4.0","5","0","0","6","43","0","0","12","6.1","0.5","0.0%"
"91","Ryan Taylor (FA)","6","9","30","5.0","8","0","0","0","0","0","0","14","6.0","0.4","0.0%"
"92","Nate Byham (FA)","3","3","38","12.7","34","1","0","0","0","0","0","4","5.3","1.3","0.0%"
"93","Kevin Brock (FA)","3","6","36","12.0","25","1","0","0","0","0","0","4","5.1","1.3","0.0%"
"94","John Phillips (FA)","4","6","30","7.5","13","0","0","0","0","0","0","15","5.0","0.3","0.0%"
"95","Garrett Celek (FA)","2","4","38","19.0","30","1","0","0","0","0","0","12","4.8","0.4","0.0%"
"96","James Casey (FA)","3","6","31","10.3","12","0","0","0","0","0","0","15","4.6","0.3","0.0%"
"97","Larry Donnell (FA)","3","6","31","10.3","11","0","0","0","0","0","0","16","4.6","0.3","0.0%"
"98","Dorin Dickerson (FA)","2","5","34","17.0","26","1","0","0","0","0","0","5","4.4","0.9","0.0%"
"99","Dominique Jones (FA)","2","3","34","17.0","21","1","0","0","0","0","0","8","4.4","0.6","0.0%"
"100","Jack Doyle (FA)","5","7","19","3.8","8","0","0","0","0","0","0","15","4.4","0.3","2.0%"
"101","Billy Bajema (FA)","2","2","18","9.0","18","0","0","0","0","0","0","6","2.8","0.5","0.0%"
"102","Kory Sperry (FA)","1","1","16","16.0","16","0","0","0","0","0","0","8","2.1","0.3","0.0%"
"103","Dante Rosario (FA)","1","4","13","13.0","13","0","0","0","0","0","0","15","1.8","0.1","0.0%"
"104","Craig Stevens (FA)","2","6","5","2.5","6","0","0","0","0","0","0","15","1.5","0.1","0.0%"
"105","Orson Charles (FA)","1","2","8","8.0","8","0","0","0","0","0","0","13","1.3","0.1","0.0%"
"106","Michael Palmer (FA)","1","1","8","8.0","8","0","0","0","0","0","0","16","1.3","0.1","0.0%"
"107","Konrad Reuland (FA)","1","3","7","7.0","7","0","0","0","0","0","0","10","1.2","0.1","0.0%"
"108","Visanthe Shiancoe (FA)","2","2","2","1.0","3","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"109","Mike McNeill (FA)","1","1","5","5.0","5","0","0","0","0","0","0","14","1.0","0.1","0.0%"
"110","Justice Cunningham (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"111","Richard Gordon (FA)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"112","Phillip Supernaw (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"113","Brandon Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"114","Jake Stoneburner (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"115","Travis Kelce (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","100.0%"
"116","D.C. Jefferson (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"117","Keavon Milton (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"118","Jake Byrne (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"119","Matt Veldman (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Steve Maneri (FA)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"121","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"122","Chase Coffman (FA)","0","2","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"123","Ben Hartsock (FA)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"124","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"125","Mike Leach (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"126","Luke Stocker (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"127","D.J. Williams (FA)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"128","Kyle Adams (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"129","Jake Bequette (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"130","Evan Rodriguez (FA)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"131","Adrien Robinson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Brad Smelley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"133","Derek Carrier (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"134","Andre Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"135","Zach Miller (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"136","Tony Moeaki (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"137","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
"138","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"139","Richie Brockel (FA)","1","1","12","12.0","12","0","0","1","1","0","1","16","-0.2","0.0","0.0%"
""
""
