"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jimmy Graham (NO)","86","143","1,215","14.1","56","19","16","0","0","0","0","16","260.5","16.3","0.3%"
"2","Vernon Davis (FA)","52","84","850","16.3","64","16","13","0","0","0","1","15","187.0","12.5","1.6%"
"3","Julius Thomas (FA)","65","90","788","12.1","74","10","12","0","0","0","0","14","183.3","13.1","0.0%"
"4","Tony Gonzalez (FA)","83","121","859","10.3","25","5","8","0","0","0","0","16","177.4","11.1","0.0%"
"5","Jordan Cameron (FA)","80","118","917","11.5","53","11","7","0","0","0","0","15","173.7","11.6","0.1%"
"6","Jason Witten (FA)","73","111","851","11.7","34","13","8","0","0","0","0","16","169.6","10.6","0.0%"
"7","Greg Olsen (FA)","73","111","816","11.2","31","12","6","0","0","0","0","16","154.1","9.6","7.0%"
"8","Charles Clay (FA)","69","102","759","11.0","67","10","6","7","15","1","0","16","153.9","9.6","0.0%"
"9","Antonio Gates (FA)","77","113","872","11.3","56","11","4","0","0","0","2","16","145.7","9.1","0.2%"
"10","Martellus Bennett (FA)","65","94","759","11.7","43","11","5","0","0","0","1","16","136.4","8.5","23.0%"
"11","Delanie Walker (FA)","60","86","571","9.5","33","5","6","0","0","0","0","15","123.1","8.2","0.1%"
"12","Jared Cook (FA)","51","86","671","13.2","47","9","5","0","0","0","1","16","120.6","7.5","0.0%"
"13","Coby Fleener (FA)","52","87","608","11.7","44","7","4","0","0","0","0","16","114.8","7.2","0.0%"
"14","Tim Wright (FA)","54","75","571","10.6","36","5","5","1","2","0","0","16","114.3","7.1","0.0%"
"15","Garrett Graham (FA)","49","89","545","11.1","42","8","5","0","0","0","1","13","107.0","8.2","0.0%"
"16","Rob Gronkowski (FA)","39","66","592","15.2","50","10","4","0","0","0","0","7","102.7","14.7","1.1%"
"17","Scott Chandler (FA)","53","81","655","12.4","33","10","2","0","0","0","1","16","102.0","6.4","0.0%"
"18","Brent Celek (FA)","32","51","502","15.7","42","13","6","0","0","0","1","16","100.2","6.3","0.0%"
"19","Brandon Myers (FA)","47","75","522","11.1","27","9","4","0","0","0","0","16","99.7","6.2","0.0%"
"20","Heath Miller (FA)","58","78","593","10.2","31","8","1","0","0","0","1","14","92.3","6.6","0.0%"
"21","Jordan Reed (FA)","45","60","499","11.1","38","3","3","1","18","0","0","9","92.2","10.2","19.0%"
"22","Zach Ertz (ARI)","36","56","469","13.0","38","8","4","0","0","0","0","16","88.9","5.6","20.7%"
"23","Jermaine Gresham (FA)","46","67","458","10.0","30","6","4","0","0","0","3","14","86.8","6.2","0.0%"
"24","Zach Miller (FA)","33","56","387","11.7","60","3","5","0","0","0","0","14","85.2","6.1","0.0%"
"25","Mychal Rivera (FA)","38","60","407","10.7","37","5","4","0","0","0","0","16","83.7","5.2","0.2%"
"26","Jeff Cumberland (FA)","26","39","398","15.3","47","7","4","0","0","0","0","15","76.8","5.1","0.0%"
"27","Tyler Eifert (FA)","39","59","445","11.4","61","5","2","0","0","0","0","15","76.0","5.1","0.0%"
"28","Joseph Fauria (FA)","18","30","207","11.5","25","3","7","0","0","0","0","16","73.7","4.6","0.0%"
"29","Brandon Pettigrew (FA)","41","63","416","10.1","31","5","2","0","0","0","1","14","72.1","5.2","0.0%"
"30","Rob Housler (FA)","39","57","454","11.6","31","7","1","0","0","0","0","13","70.9","5.5","0.0%"
"31","Marcedes Lewis (CHI)","25","47","359","14.4","41","7","4","0","0","0","1","11","70.4","6.4","0.0%"
"32","Dallas Clark (FA)","31","52","343","11.1","45","4","3","0","0","0","0","12","67.8","5.7","0.0%"
"33","Kellen Winslow (FA)","31","47","388","12.5","34","4","2","0","0","0","0","12","66.3","5.5","0.0%"
"34","Lance Kendricks (FA)","32","46","258","8.1","21","1","4","0","0","0","0","15","65.8","4.4","0.0%"
"35","Kyle Rudolph (FA)","30","46","313","10.4","31","6","3","0","0","0","0","8","64.3","8.0","0.0%"
"36","Ladarius Green (FA)","17","30","376","22.1","60","9","3","0","0","0","0","16","64.1","4.0","0.0%"
"37","Jermichael Finley (FA)","25","34","300","12.0","52","3","3","0","0","0","0","6","60.5","10.1","0.0%"
"38","Andrew Quarless (FA)","32","53","312","9.8","22","3","2","0","0","0","0","16","59.2","3.7","0.0%"
"39","Owen Daniels (FA)","24","41","252","10.5","28","3","3","0","0","0","0","5","55.2","11.0","0.0%"
"40","Sean McGrath (FA)","26","40","302","11.6","25","6","2","0","0","0","0","16","55.2","3.5","0.0%"
"41","Logan Paulsen (FA)","28","50","267","9.5","33","2","3","0","0","0","2","16","54.7","3.4","0.0%"
"42","John Carlson (FA)","32","47","344","10.8","30","5","1","0","0","0","1","13","54.4","4.2","0.0%"
"43","Clay Harbor (FA)","24","35","292","12.2","31","5","2","0","0","0","1","16","51.2","3.2","0.0%"
"44","Anthony Fasano (FA)","23","33","200","8.7","20","1","3","0","0","0","0","9","49.5","5.5","0.1%"
"45","Ed Dickson (FA)","25","43","273","10.9","43","2","1","0","0","0","0","16","45.8","2.9","0.0%"
"46","Jim Dray (FA)","26","32","215","8.3","18","0","2","0","0","0","1","16","44.5","2.8","0.0%"
"47","Benjamin Watson (FA)","19","30","226","11.9","32","4","2","0","0","0","0","15","44.1","2.9","2.8%"
"48","Luke Willson (FA)","20","28","272","13.6","39","4","1","0","0","0","0","16","43.2","2.7","0.0%"
"49","Ryan Griffin (FA)","19","28","244","12.8","40","3","1","0","0","0","0","15","39.9","2.7","0.0%"
"50","Bruce Miller (FA)","25","36","243","9.7","43","2","0","7","13","0","0","14","38.1","2.7","0.0%"
"51","Jacob Tamme (FA)","20","25","184","9.2","15","0","1","0","0","0","0","16","34.4","2.2","0.0%"
"52","Dennis Pitta (FA)","20","33","169","8.5","18","0","1","0","0","0","0","4","32.9","8.2","0.0%"
