"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"83","Da'Rel Scott (FA)","20","73","3.7","16","0","0","11","19","102","9.3","1","0","5","29.0","5.8","0.0%"
"84","Anthony Sherman (FA)","2","3","1.5","2","0","0","18","24","155","8.6","1","1","16","28.8","1.8","0.0%"
"85","Antone Smith (FA)","5","145","29.0","50","3","2","2","3","10","5.0","0","0","16","28.5","1.8","0.0%"
"86","Stanley Havili (FA)","7","7","1.0","4","0","0","18","21","128","7.1","1","0","13","28.5","2.2","0.0%"
"87","Khiry Robinson (FA)","54","224","4.1","25","3","1","0","0","0","0","0","0","10","28.4","2.8","0.0%"
"88","Frank Summers (FA)","12","46","3.8","16","0","1","7","8","79","11.3","1","0","15","28.0","1.9","0.0%"
"89","Felix Jones (FA)","48","184","3.8","14","0","0","9","13","63","7.0","0","1","16","27.2","1.7","0.0%"
"90","Dennis Johnson (FA)","49","183","3.7","29","1","0","8","12","46","5.8","0","0","8","26.9","3.4","0.0%"
"91","Jonathan Stewart (FA)","48","180","3.8","16","0","0","7","7","44","6.3","0","0","6","25.9","4.3","0.0%"
"92","Jackie Battle (FA)","36","142","3.9","37","2","1","4","5","36","9.0","0","0","16","25.8","1.6","0.0%"
"93","Jed Collins (FA)","15","45","3.0","12","0","1","14","18","54","3.9","0","0","16","22.9","1.4","0.0%"
"94","Stepfan Taylor (FA)","36","115","3.2","15","0","0","8","9","71","8.9","0","0","16","22.6","1.4","0.2%"
"95","Lance Dunbar (FA)","30","150","5.0","45","1","0","7","7","59","8.4","0","1","9","22.4","2.5","0.0%"
"96","John Kuhn (FA)","10","38","3.8","12","0","1","13","19","81","6.2","0","1","15","22.4","1.5","0.0%"
"97","Anthony Dixon (FA)","28","56","2.0","9","0","2","3","3","30","10.0","0","0","16","22.1","1.4","0.0%"
"98","Jonathan Grimes (FA)","21","73","3.5","12","0","1","6","6","76","12.7","0","1","2","21.9","11.0","0.0%"
"99","Alfonso Smith (FA)","18","54","3.0","21","1","1","10","13","68","6.8","0","1","16","21.2","1.3","0.0%"
"100","Tashard Choice (FA)","46","170","3.7","20","1","0","5","9","15","3.0","0","0","15","21.0","1.4","0.0%"
"101","Johnathan Franklin (FA)","19","107","5.6","51","1","1","4","5","30","7.5","0","1","11","19.7","1.8","0.0%"
"102","Justin Forsett (FA)","6","31","5.2","10","0","0","15","16","82","5.5","0","0","9","18.8","2.1","0.0%"
"103","Tommy Bohanon (FA)","17","62","3.6","8","0","0","11","16","69","6.3","0","0","16","18.6","1.2","0.0%"
"104","Vonta Leach (FA)","11","23","2.1","6","0","0","11","19","47","4.3","1","0","16","18.5","1.2","0.0%"
"105","David Wilson (FA)","44","146","3.3","18","0","1","2","6","8","4.0","0","2","5","18.4","3.7","0.0%"
"106","Isaiah Pead (FA)","7","21","3.0","11","0","0","11","15","78","7.1","0","0","10","17.4","1.7","0.0%"
"107","Derrick Coleman (FA)","2","3","1.5","4","0","0","8","8","62","7.8","1","0","12","16.5","1.4","0.1%"
"108","James Develin (FA)","4","10","2.5","4","0","1","4","4","62","15.5","0","0","16","15.2","1.0","0.0%"
"109","Will Johnson (FA)","0","0","0","0","0","0","8","11","41","5.1","1","0","15","14.1","0.9","0.0%"
"110","Theo Riddick (FA)","9","25","2.8","7","0","1","4","8","26","6.5","0","0","14","13.1","0.9","0.0%"
"111","Phillip Tanner (FA)","9","12","1.3","9","0","1","3","4","33","11.0","0","0","16","12.0","0.8","0.0%"
"112","Cyrus Gray (FA)","9","24","2.7","9","0","0","7","10","46","6.6","0","0","16","10.5","0.7","0.0%"
"113","Jamize Olawale (FA)","3","6","2.0","4","0","0","7","11","63","9.0","0","0","16","10.4","0.7","0.0%"
"114","Erik Lorig (FA)","0","0","0","0","0","0","11","14","47","4.3","0","0","15","10.2","0.7","0.0%"
"115","Dan Herron (FA)","5","33","6.6","22","1","0","1","1","57","57.0","0","0","6","9.5","1.6","0.0%"
"116","Will Ta'ufo'ou (FA)","1","1","1.0","1","0","0","10","15","40","4.0","0","0","16","9.1","0.6","0.0%"
"117","Mike Goodson (FA)","7","61","8.7","26","1","0","2","3","19","9.5","0","0","2","9.0","4.5","0.0%"
"118","Patrick DiMarco (FA)","0","0","0","0","0","0","8","10","49","6.1","0","0","14","8.9","0.6","0.0%"
"119","LaMichael James (FA)","12","59","4.9","21","1","0","2","3","16","8.0","0","0","10","8.5","0.9","0.0%"
"120","Christine Michael (FA)","18","79","4.4","13","0","0","0","0","0","0","0","0","4","7.9","2.0","0.0%"
"121","Jeremy Stewart (FA)","2","2","1.0","2","0","1","2","2","6","3.0","0","0","13","7.8","0.6","0.0%"
"122","Tony Fiammetta (FA)","0","0","0","0","0","0","4","5","57","14.3","0","0","16","7.7","0.5","0.0%"
"123","Travaris Cadet (FA)","0","0","0","0","0","0","2","2","5","2.5","1","0","13","7.5","0.6","0.0%"
"124","Michael Cox (FA)","22","43","2.0","9","0","0","3","3","12","4.0","0","0","14","7.0","0.5","0.0%"
"125","Taiwan Jones (FA)","5","23","4.6","19","0","0","2","3","55","27.5","0","1","16","6.8","0.4","0.0%"
"126","Jerome Felton (FA)","0","0","0","0","0","0","6","8","37","6.2","0","0","13","6.7","0.5","0.0%"
"127","Vick Ballard (FA)","13","63","4.8","12","0","0","1","2","-5","-5.0","0","0","1","6.3","6.3","0.0%"
"128","Collin Mooney (FA)","0","0","0","0","0","0","6","6","32","5.3","0","0","12","6.2","0.5","0.0%"
"129","Greg Jones (FA)","2","2","1.0","4","0","0","5","11","34","6.8","0","0","16","6.1","0.4","0.0%"
"130","John Conner (FA)","0","0","0","0","0","0","6","11","31","5.2","0","0","13","6.1","0.5","0.0%"
"131","Michael Hill (FA)","9","23","2.6","10","0","0","2","2","23","11.5","0","0","8","5.6","0.7","0.0%"
"132","Deji Karim (FA)","12","51","4.3","14","0","0","1","2","-1","-1.0","0","0","7","5.5","0.8","0.0%"
"133","Alex Green (FA)","11","35","3.2","9","0","0","2","2","8","4.0","0","0","13","5.3","0.4","0.0%"
"134","Jeff Demps (FA)","1","14","14.0","14","0","0","3","3","21","7.0","0","0","2","5.0","2.5","0.0%"
"135","Isaac Redman (FA)","10","12","1.2","8","0","0","4","5","14","3.5","0","0","3","4.6","1.5","0.0%"
"136","LaRod Stephens-Howling (FA)","6","19","3.2","5","0","0","2","3","11","5.5","0","0","1","4.0","4.0","0.0%"
"137","Bradie Ewing (FA)","0","0","0","0","0","0","2","2","29","14.5","0","0","2","3.9","2.0","0.0%"
"138","C.J. Anderson (FA)","7","38","5.4","11","0","0","0","1","0","0","0","0","5","3.8","0.8","1.0%"
"139","Michael Robinson (FA)","1","0","0.0","0","0","0","2","3","27","13.5","0","0","9","3.7","0.4","0.0%"
"140","Le'Ron McClain (FA)","11","32","2.9","7","0","0","2","3","-7","-3.5","0","0","16","3.5","0.2","0.0%"
"141","Bernard Scott (FA)","4","14","3.5","9","0","0","2","2","10","5.0","0","0","2","3.4","1.7","0.0%"
"142","Denard Robinson (FA)","20","66","3.3","24","1","0","0","1","0","0","0","2","16","2.6","0.2","0.2%"
"143","Ray Graham (FA)","4","8","2.0","4","0","0","1","3","12","12.0","0","0","1","2.5","2.5","0.0%"
"144","Kenjon Barner (FA)","6","7","1.2","2","0","0","2","3","7","3.5","0","0","8","2.4","0.3","0.0%"
"145","Mike Gillislee (FA)","6","21","3.5","6","0","0","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"146","Cedric Peerman (FA)","8","17","2.1","5","0","0","0","0","0","0","0","0","16","1.7","0.1","0.0%"
"147","Joe Banyard (FA)","0","0","0","0","0","0","1","1","11","11.0","0","0","3","1.6","0.5","0.0%"
"148","Zach Line (FA)","0","0","0","0","0","0","1","3","8","8.0","0","0","3","1.3","0.4","0.0%"
"149","Robert Hughes (FA)","0","0","0","0","0","0","1","2","6","6.0","0","0","1","1.1","1.1","0.0%"
"150","Ronnie Wingo (FA)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","2","1.1","0.6","0.0%"
"151","Spencer Ware (FA)","3","10","3.3","5","0","0","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"152","Henry Hynoski (FA)","0","0","0","0","0","0","1","2","5","5.0","0","0","3","1.0","0.3","0.0%"
"153","Cierre Wood (FA)","3","9","3.0","5","0","0","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"154","Mikel Leshoure (FA)","2","9","4.5","5","0","0","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"155","Evan Royster (FA)","2","0","0.0","0","0","0","1","1","3","3.0","0","0","10","0.8","0.1","0.0%"
"156","Armond Smith (FA)","4","5","1.3","5","0","0","0","0","0","0","0","0","5","0.5","0.1","0.0%"
"157","Shaun Draughn (FA)","4","2","0.5","3","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"158","Josh Vaughan (FA)","1","1","1.0","1","0","0","1","1","-5","-5.0","0","0","6","0.1","0.0","0.0%"
"159","Leon Washington (FA)","1","1","1.0","1","0","0","0","1","0","0","0","0","7","0.1","0.0","0.0%"
"160","Chase Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"161","Matthew Tucker (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"162","Kyle Juszczyk (SF)","0","0","0","0","0","0","0","1","0","0","0","0","16","0.0","0.0","0.3%"
"163","Rex Burkhead (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.1%"
"164","Evan Rodriguez (FA)","0","0","0","0","0","0","0","1","0","0","0","0","7","0.0","0.0","0.0%"
"165","Chris Rainey (FA)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"166","Kerwynn Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","Chris Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
