"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","110","152","1,338","12.2","52","29","12","2","5","0","1","17","261.3","15.4","100.0%"
"2","T.J. Hockenson (MIN)","86","129","914","10.6","81","12","6","0","0","0","1","17","172.4","10.1","99.2%"
"3","George Kittle (SF)","60","86","765","12.8","54","20","11","0","0","0","1","15","170.5","11.4","99.2%"
"4","Mark Andrews (BAL)","73","113","847","11.6","36","8","5","3","8","0","0","15","154.0","10.3","99.9%"
"5","Taysom Hill (NO)","9","13","77","8.6","30","2","2","96","575","7","0","16","141.3","8.8","16.6%"
"6","Evan Engram (JAC)","73","98","766","10.5","36","11","4","2","13","0","0","17","140.4","8.3","93.3%"
"7","Cole Kmet (CHI)","50","69","544","10.9","50","9","7","2","9","0","0","17","122.3","7.2","82.5%"
"8","Pat Freiermuth (PIT)","63","98","732","11.6","57","13","2","0","0","0","0","15","116.7","7.8","92.5%"
"9","Tyler Higbee (LAR)","72","108","620","8.6","26","4","3","0","0","0","0","16","116.0","7.3","67.8%"
"10","Dalton Schultz (HOU)","57","89","577","10.1","30","6","5","0","0","0","1","15","114.2","7.6","80.5%"
"11","Juwan Johnson (NO)","42","65","508","12.1","41","10","7","0","0","0","0","16","113.8","7.1","21.6%"
"12","Dallas Goedert (PHI)","55","69","702","12.8","31","12","3","0","0","0","1","12","113.7","9.5","96.5%"
"13","David Njoku (CLE)","58","80","628","10.8","38","10","4","2","-8","0","1","14","113.0","8.1","90.4%"
"14","Dawson Knox (BUF)","48","65","517","10.8","45","10","6","0","0","0","0","15","111.7","7.4","24.3%"
"15","Gerald Everett (LAC)","58","87","555","9.6","26","4","4","1","0","0","0","15","110.5","7.4","52.1%"
"16","Tyler Conklin (NYJ)","58","87","552","9.5","30","7","3","2","3","0","0","17","102.5","6.0","9.1%"
"17","Jordan Akins (CLE)","37","54","495","13.4","46","13","5","0","0","0","1","15","98.0","6.5","0.1%"
"18","Noah Fant (SEA)","50","63","486","9.7","51","8","4","0","0","0","0","17","97.6","5.7","4.3%"
"19","Zach Ertz (ARI)","47","69","406","8.6","32","3","4","0","0","0","0","10","92.1","9.2","20.7%"
"20","Robert Tonyan (CHI)","53","67","470","8.9","24","5","2","0","0","0","0","17","85.5","5.0","0.7%"
"21","Hunter Henry (NE)","41","59","509","12.4","39","15","2","0","0","0","0","16","83.4","5.2","4.6%"
"22","Hayden Hurst (CAR)","54","70","439","8.1","29","5","2","0","0","0","0","14","82.9","5.9","8.1%"
"23","Mike Gesicki (NE)","32","52","362","11.3","32","7","5","0","0","0","0","17","82.2","4.8","25.6%"
"24","Chigoziem Okonkwo (TEN)","32","46","450","14.1","48","14","3","3","2","0","0","16","81.2","5.1","54.2%"
"25","Austin Hooper (LV)","41","60","444","10.8","24","2","2","0","0","0","0","17","76.9","4.5","1.0%"
